run,real,sys,user
1,2.48,0.00,2.48
2,2.48,0.00,2.48
3,2.47,0.00,2.47
4,2.47,0.00,2.47
5,2.47,0.00,2.47
6,2.47,0.00,2.47
7,2.47,0.00,2.47
8,2.47,0.00,2.47
9,2.48,0.00,2.48
10,2.47,0.00,2.47
11,2.47,0.00,2.47
12,2.47,0.00,2.47
13,2.47,0.00,2.47
14,2.47,0.00,2.47
15,2.47,0.00,2.47
16,2.47,0.00,2.47
17,2.47,0.00,2.47
18,2.47,0.00,2.47
19,2.48,0.00,2.48
20,2.47,0.00,2.47
21,2.47,0.00,2.47
22,2.47,0.00,2.47
23,2.47,0.00,2.47
24,2.47,0.00,2.47
25,2.47,0.00,2.47
26,2.48,0.00,2.48
27,2.48,0.00,2.48
28,2.47,0.00,2.47
29,2.47,0.00,2.47
30,2.48,0.00,2.48
31,2.47,0.00,2.47
32,2.47,0.00,2.47
33,2.47,0.00,2.47
34,2.47,0.00,2.47
35,2.47,0.00,2.47
36,2.47,0.00,2.47
37,2.47,0.00,2.47
38,2.47,0.00,2.47
39,2.47,0.00,2.47
40,2.47,0.00,2.47
41,2.47,0.00,2.47
42,2.47,0.00,2.47
43,2.47,0.00,2.47
44,2.47,0.00,2.47
45,2.47,0.00,2.47
46,2.47,0.00,2.47
47,2.47,0.00,2.47
48,2.47,0.00,2.47
49,2.47,0.00,2.47
50,2.48,0.00,2.48
