run,real,sys,user
1,1.88,0.00,1.88
2,1.88,0.00,1.88
3,1.88,0.00,1.88
4,1.88,0.00,1.88
5,1.88,0.00,1.88
6,1.88,0.00,1.88
7,1.88,0.00,1.88
8,1.88,0.00,1.88
9,1.88,0.00,1.88
10,1.88,0.00,1.88
11,1.88,0.00,1.88
12,1.88,0.00,1.88
13,1.88,0.00,1.88
14,1.88,0.00,1.88
15,1.88,0.00,1.88
16,1.88,0.00,1.88
17,1.88,0.00,1.88
18,1.88,0.00,1.88
19,1.88,0.00,1.88
20,1.88,0.00,1.88
21,1.88,0.00,1.88
22,1.88,0.00,1.88
23,1.88,0.00,1.88
24,1.88,0.00,1.88
25,1.88,0.00,1.88
26,1.88,0.00,1.88
27,1.88,0.00,1.88
28,1.88,0.00,1.88
29,1.88,0.00,1.88
30,1.88,0.00,1.88
31,1.88,0.00,1.88
32,1.88,0.00,1.88
33,1.88,0.00,1.88
34,1.88,0.00,1.88
35,1.88,0.00,1.88
36,1.88,0.00,1.88
37,1.88,0.00,1.88
38,1.88,0.00,1.88
39,1.88,0.00,1.88
40,1.88,0.00,1.88
41,1.89,0.00,1.89
42,1.88,0.00,1.88
43,1.88,0.00,1.88
44,1.88,0.00,1.88
45,1.88,0.00,1.88
46,1.88,0.00,1.88
47,1.88,0.00,1.88
48,1.88,0.00,1.88
49,1.89,0.00,1.89
50,1.88,0.00,1.88
51,1.88,0.00,1.88
52,1.88,0.00,1.88
53,1.88,0.00,1.88
54,1.88,0.00,1.88
55,1.88,0.00,1.88
56,1.88,0.00,1.88
57,1.88,0.00,1.88
58,1.88,0.00,1.88
59,1.88,0.00,1.88
60,1.88,0.00,1.88
61,1.88,0.00,1.88
62,1.88,0.00,1.88
63,1.88,0.00,1.88
64,1.88,0.00,1.88
65,1.88,0.00,1.88
66,1.88,0.00,1.88
67,1.88,0.00,1.88
68,1.88,0.00,1.88
69,1.88,0.00,1.88
70,1.88,0.00,1.88
71,1.88,0.00,1.88
72,1.88,0.00,1.88
73,1.88,0.00,1.88
74,1.88,0.00,1.88
75,1.88,0.00,1.88
76,1.88,0.00,1.88
77,1.88,0.00,1.88
78,1.88,0.00,1.88
79,1.88,0.00,1.88
80,1.88,0.00,1.88
81,1.88,0.00,1.88
82,1.88,0.00,1.88
83,1.88,0.00,1.88
84,1.88,0.00,1.88
85,1.88,0.00,1.88
86,1.88,0.00,1.88
87,1.88,0.00,1.88
88,1.88,0.00,1.88
89,1.88,0.00,1.88
90,1.88,0.00,1.88
91,1.88,0.00,1.88
92,1.88,0.00,1.88
93,1.88,0.00,1.88
94,1.88,0.00,1.88
95,1.88,0.00,1.88
96,1.88,0.00,1.88
97,1.88,0.00,1.88
98,1.88,0.00,1.88
99,1.88,0.00,1.88
100,1.88,0.00,1.88
101,1.88,0.00,1.88
102,1.88,0.00,1.88
103,1.88,0.00,1.88
104,1.88,0.00,1.88
105,1.88,0.00,1.88
106,1.88,0.00,1.88
107,1.88,0.00,1.88
108,1.88,0.00,1.88
109,1.88,0.00,1.88
110,1.88,0.00,1.88
111,1.88,0.00,1.88
112,1.88,0.00,1.88
113,1.88,0.00,1.88
114,1.88,0.00,1.88
115,1.88,0.00,1.88
116,1.88,0.00,1.88
117,1.88,0.00,1.88
118,1.88,0.00,1.88
119,1.88,0.00,1.88
120,1.88,0.00,1.88
121,1.88,0.00,1.88
122,1.88,0.00,1.88
123,1.88,0.00,1.88
124,1.88,0.00,1.88
125,1.88,0.00,1.88
126,1.88,0.00,1.88
127,1.88,0.00,1.88
128,1.88,0.00,1.88
129,1.88,0.00,1.88
130,1.88,0.00,1.88
131,1.88,0.00,1.88
132,1.88,0.00,1.88
133,1.88,0.00,1.88
134,1.88,0.00,1.88
135,1.88,0.00,1.88
136,1.88,0.00,1.88
137,1.88,0.00,1.88
138,1.88,0.00,1.88
139,1.88,0.00,1.88
140,1.88,0.00,1.88
141,1.88,0.00,1.88
142,1.88,0.00,1.88
143,1.88,0.00,1.88
144,1.88,0.00,1.88
145,1.88,0.00,1.88
146,1.88,0.00,1.88
147,1.88,0.00,1.88
148,1.88,0.00,1.88
149,1.88,0.00,1.88
150,1.88,0.00,1.88
151,1.88,0.00,1.88
152,1.88,0.00,1.88
153,1.88,0.00,1.88
154,1.88,0.00,1.88
155,1.88,0.00,1.88
156,1.88,0.00,1.88
157,1.88,0.00,1.88
158,1.88,0.00,1.88
159,1.88,0.00,1.88
160,1.88,0.00,1.88
161,1.88,0.00,1.88
162,1.88,0.00,1.88
163,1.88,0.00,1.88
164,1.88,0.00,1.88
165,1.88,0.00,1.88
166,1.88,0.00,1.88
167,1.88,0.00,1.88
168,1.88,0.00,1.88
169,1.88,0.00,1.88
170,1.88,0.00,1.88
171,1.88,0.00,1.88
172,1.88,0.00,1.88
173,1.88,0.00,1.88
174,1.88,0.00,1.88
175,1.88,0.00,1.88
176,1.88,0.00,1.88
177,1.88,0.00,1.88
178,1.88,0.00,1.88
179,1.88,0.00,1.88
180,1.88,0.00,1.88
181,1.88,0.00,1.88
182,1.88,0.00,1.88
183,1.88,0.00,1.88
184,1.88,0.00,1.88
185,1.88,0.00,1.88
186,1.88,0.00,1.88
187,1.88,0.00,1.88
188,1.88,0.00,1.88
189,1.88,0.00,1.88
190,1.88,0.00,1.88
191,1.88,0.00,1.88
192,1.88,0.00,1.88
193,1.88,0.00,1.88
194,1.88,0.00,1.88
195,1.88,0.00,1.88
196,1.88,0.00,1.88
197,1.88,0.00,1.88
198,1.88,0.00,1.88
199,1.88,0.00,1.88
200,1.88,0.00,1.88
